lambda,case_A,case_B
350,0.062,0.181
351,0.058,0.18
352,0.058,0.181
353,0.055,0.182
354,0.048,0.179
355,0.046,0.176
356,0.048,0.1729
357,0.048,0.1719
358,0.049,0.17
359,0.048,0.169
360,0.045,0.171
361,0.044,0.17
362,0.0429,0.168
363,0.042,0.166
364,0.04,0.164
365,0.042,0.162
366,0.042,0.164
367,0.039,0.166
368,0.037,0.164
369,0.037,0.16
370,0.037,0.16
371,0.038,0.162
372,0.039,0.161
373,0.036,0.161
374,0.036,0.161
375,0.038,0.162
376,0.036,0.16
377,0.035,0.159
378,0.035,0.159
379,0.035,0.16
380,0.035,0.16
381,0.036,0.161
382,0.036,0.162
383,0.034,0.162
384,0.034,0.159
385,0.035,0.158
386,0.036,0.16
387,0.034,0.161
388,0.035,0.16
389,0.036,0.16
390,0.035,0.16
391,0.032,0.16
392,0.032,0.16
393,0.033,0.16
394,0.033,0.16
395,0.034,0.159
396,0.034,0.158
397,0.034,0.159
398,0.035,0.161
399,0.034,0.161
400,0.034,0.161
401,0.034,0.161
402,0.033,0.16
403,0.033,0.161
404,0.034,0.161
405,0.035,0.16
406,0.034,0.161
407,0.034,0.161
408,0.034,0.161
409,0.035,0.16
410,0.033,0.16
411,0.033,0.16
412,0.035,0.161
413,0.036,0.161
414,0.035,0.161
415,0.034,0.161
416,0.033,0.161
417,0.034,0.161
418,0.034,0.16
419,0.034,0.16
420,0.034,0.16
421,0.033,0.159
422,0.033,0.159
423,0.033,0.159
424,0.034,0.16
425,0.033,0.159
426,0.033,0.159
427,0.033,0.158
428,0.034,0.159
429,0.034,0.159
430,0.034,0.158
431,0.033,0.158
432,0.033,0.158
433,0.033,0.157
434,0.033,0.157
435,0.033,0.158
436,0.033,0.157
437,0.033,0.157
438,0.033,0.157
439,0.033,0.157
440,0.033,0.157
441,0.033,0.157
442,0.033,0.156
443,0.033,0.157
444,0.033,0.157
445,0.033,0.157
446,0.033,0.157
447,0.033,0.157
448,0.033,0.157
449,0.033,0.157
450,0.034,0.157
451,0.034,0.157
452,0.034,0.157
453,0.033,0.157
454,0.033,0.157
455,0.033,0.158
456,0.034,0.158
457,0.034,0.158
458,0.034,0.158
459,0.034,0.158
460,0.034,0.158
461,0.034,0.158
462,0.034,0.158
463,0.034,0.158
464,0.034,0.158
465,0.034,0.158
466,0.034,0.158
467,0.034,0.158
468,0.034,0.158
469,0.034,0.157
470,0.034,0.157
471,0.034,0.157
472,0.034,0.157
473,0.033,0.157
474,0.033,0.157
475,0.034,0.157
476,0.034,0.157
477,0.034,0.157
478,0.033,0.157
479,0.034,0.157
480,0.034,0.157
481,0.034,0.157
482,0.034,0.157
483,0.034,0.157
484,0.034,0.157
485,0.034,0.157
486,0.034,0.157
487,0.034,0.158
488,0.034,0.158
489,0.034,0.158
490,0.034,0.159
491,0.034,0.159
492,0.035,0.159
493,0.035,0.16
494,0.035,0.161
495,0.035,0.161
496,0.036,0.162
497,0.036,0.163
498,0.036,0.164
499,0.037,0.165
500,0.037,0.166
501,0.038,0.167
502,0.039,0.169
503,0.039,0.171
504,0.04,0.1719
505,0.041,0.1739
506,0.042,0.177
507,0.044,0.179
508,0.045,0.182
509,0.047,0.185
510,0.049,0.188
511,0.0509,0.192
512,0.054,0.196
513,0.057,0.2
514,0.059,0.2039
515,0.062,0.208
516,0.066,0.213
517,0.07,0.218
518,0.074,0.223
519,0.078,0.228
520,0.082,0.233
521,0.0869,0.239
522,0.092,0.244
523,0.096,0.249
524,0.1,0.254
525,0.105,0.259
526,0.109,0.263
527,0.113,0.268
528,0.117,0.272
529,0.12,0.275
530,0.123,0.279
531,0.126,0.2819
532,0.129,0.2849
533,0.131,0.287
534,0.134,0.289
535,0.135,0.291
536,0.137,0.293
537,0.138,0.294
538,0.139,0.296
539,0.14,0.297
540,0.1409,0.298
541,0.1419,0.299
542,0.1429,0.299
543,0.1429,0.3
544,0.144,0.301
545,0.145,0.302
546,0.146,0.302
547,0.146,0.303
548,0.147,0.304
549,0.147,0.304
550,0.148,0.304
551,0.148,0.305
552,0.148,0.305
553,0.148,0.305
554,0.147,0.304
555,0.146,0.303
556,0.145,0.302
557,0.144,0.301
558,0.1419,0.3
559,0.1409,0.298
560,0.138,0.296
561,0.136,0.294
562,0.134,0.292
563,0.132,0.289
564,0.129,0.287
565,0.126,0.2839
566,0.123,0.281
567,0.12,0.278
568,0.117,0.276
569,0.114,0.273
570,0.111,0.27
571,0.108,0.266
572,0.105,0.263
573,0.1019,0.26
574,0.099,0.257
575,0.097,0.254
576,0.094,0.251
577,0.092,0.249
578,0.09,0.246
579,0.088,0.244
580,0.0859,0.242
581,0.085,0.24
582,0.083,0.238
583,0.082,0.237
584,0.08,0.236
585,0.079,0.234
586,0.078,0.232
587,0.077,0.231
588,0.076,0.23
589,0.075,0.229
590,0.074,0.228
591,0.074,0.227
592,0.073,0.226
593,0.072,0.226
594,0.072,0.225
595,0.0709,0.224
596,0.0709,0.224
597,0.0709,0.223
598,0.07,0.223
599,0.07,0.222
600,0.069,0.222
601,0.069,0.221
602,0.068,0.22
603,0.068,0.22
604,0.067,0.219
605,0.066,0.218
606,0.065,0.217
607,0.064,0.215
608,0.063,0.214
609,0.062,0.213
610,0.061,0.211
611,0.06,0.209
612,0.059,0.208
613,0.058,0.206
614,0.057,0.205
615,0.056,0.2039
616,0.055,0.202
617,0.055,0.201
618,0.054,0.2
619,0.053,0.199
620,0.053,0.198
621,0.052,0.197
622,0.052,0.197
623,0.0509,0.196
624,0.0509,0.196
625,0.0509,0.195
626,0.0509,0.195
627,0.0509,0.195
628,0.05,0.195
629,0.05,0.194
630,0.05,0.194
631,0.05,0.194
632,0.05,0.194
633,0.05,0.193
634,0.049,0.193
635,0.049,0.192
636,0.048,0.191
637,0.047,0.19
638,0.047,0.189
639,0.046,0.187
640,0.045,0.185
641,0.044,0.184
642,0.0429,0.182
643,0.042,0.181
644,0.042,0.179
645,0.041,0.177
646,0.04,0.176
647,0.04,0.175
648,0.039,0.1739
649,0.039,0.1729
650,0.038,0.1719
651,0.038,0.171
652,0.038,0.171
653,0.038,0.17
654,0.038,0.169
655,0.037,0.169
656,0.037,0.168
657,0.037,0.167
658,0.037,0.166
659,0.036,0.165
660,0.036,0.164
661,0.036,0.163
662,0.036,0.162
663,0.036,0.161
664,0.036,0.16
665,0.036,0.16
666,0.036,0.159
667,0.036,0.159
668,0.036,0.158
669,0.037,0.158
670,0.037,0.158
671,0.037,0.158
672,0.038,0.158
673,0.039,0.158
674,0.039,0.159
675,0.04,0.159
676,0.041,0.16
677,0.042,0.16
678,0.0429,0.161
679,0.044,0.162
680,0.045,0.163
681,0.046,0.164
682,0.047,0.165
683,0.048,0.166
684,0.049,0.168
685,0.049,0.169
686,0.05,0.1719
687,0.0509,0.175
688,0.053,0.178
689,0.055,0.183
690,0.058,0.189
691,0.061,0.196
692,0.066,0.2039
693,0.072,0.213
694,0.08,0.223
695,0.088,0.235
696,0.098,0.247
697,0.109,0.26
698,0.122,0.274
699,0.135,0.289
700,0.15,0.303
701,0.165,0.318
702,0.181,0.333
703,0.197,0.3469
704,0.213,0.362
705,0.23,0.376
706,0.247,0.39
707,0.265,0.404
708,0.2829,0.418
709,0.301,0.431
710,0.319,0.445
711,0.338,0.458
712,0.358,0.471
713,0.377,0.485
714,0.397,0.497
715,0.417,0.51
716,0.438,0.522
717,0.459,0.535
718,0.479,0.547
719,0.5,0.558
720,0.521,0.5699
721,0.541,0.581
722,0.562,0.591
723,0.582,0.602
724,0.602,0.612
725,0.621,0.621
726,0.64,0.63
727,0.658,0.639
728,0.676,0.647
729,0.6929,0.655
730,0.709,0.663
731,0.724,0.67
732,0.739,0.676
733,0.753,0.682
734,0.766,0.6879
735,0.779,0.6939
736,0.791,0.699
737,0.801,0.703
738,0.812,0.708
739,0.821,0.712
740,0.83,0.716
741,0.838,0.719
742,0.845,0.723
743,0.852,0.726
744,0.858,0.728
745,0.864,0.731
746,0.869,0.733
747,0.873,0.735
748,0.877,0.737
749,0.881,0.739
750,0.884,0.74
751,0.886,0.742
752,0.889,0.743
753,0.891,0.744
754,0.893,0.745
755,0.895,0.746
756,0.897,0.747
757,0.898,0.748
758,0.899,0.749
759,0.9,0.749
760,0.901,0.75
761,0.902,0.751
762,0.902,0.751
763,0.903,0.752
764,0.903,0.753
765,0.904,0.753
766,0.904,0.754
767,0.904,0.754
768,0.904,0.755
769,0.905,0.755
770,0.905,0.756
771,0.905,0.756
772,0.905,0.757
773,0.905,0.757
774,0.905,0.758
775,0.905,0.758
776,0.905,0.758
777,0.906,0.759
778,0.906,0.759
779,0.906,0.76
780,0.906,0.76
781,0.906,0.761
782,0.906,0.761
783,0.906,0.762
784,0.907,0.762
785,0.907,0.763
786,0.907,0.763
787,0.907,0.764
788,0.907,0.764
789,0.907,0.765
790,0.908,0.765
791,0.908,0.766
792,0.908,0.766
793,0.908,0.767
794,0.908,0.767
795,0.908,0.768
796,0.908,0.768
797,0.909,0.769
798,0.909,0.769
799,0.909,0.77
800,0.909,0.77
801,0.909,0.771
802,0.91,0.771
803,0.91,0.772
804,0.91,0.772
805,0.91,0.773
806,0.91,0.773
807,0.91,0.774
808,0.911,0.774
809,0.911,0.775
810,0.911,0.776
811,0.911,0.776
812,0.912,0.776
813,0.912,0.777
814,0.912,0.777
815,0.912,0.778
816,0.912,0.778
817,0.912,0.778
818,0.912,0.778
819,0.912,0.779
820,0.913,0.78
821,0.913,0.78
822,0.913,0.78
823,0.913,0.781
824,0.913,0.781
825,0.913,0.782
826,0.913,0.782
827,0.914,0.782
828,0.914,0.782
829,0.914,0.783
830,0.914,0.783
831,0.914,0.783
832,0.914,0.784
833,0.914,0.784
834,0.914,0.784
835,0.915,0.785
836,0.915,0.785
837,0.915,0.785
838,0.915,0.786
839,0.915,0.786
840,0.916,0.786
841,0.916,0.787
842,0.916,0.787
843,0.916,0.787
844,0.916,0.788
845,0.916,0.788
846,0.917,0.788
